Raw_API,Full_API,Description
tf.linalg.eigh_tridiagonal,"tf.linalg.eigh_tridiagonal(
    alpha,
    beta,
    eigvals_only=True,
    select='a',
    select_range=None,
    tol=None,
    name=None
)
",Computes the eigenvalues of a Hermitian tridiagonal matrix.View aliases
tf.linalg.eigvalsh,"tf.linalg.eigvalsh(
    tensor, name=None
)
",Computes the eigenvalues of one or more self-adjoint matrices.View aliases
tf.einsum,"tf.einsum(
    equation, *inputs, **kwargs
)
",Tensor contraction over specified indices and outer product.View aliases
tf.linalg.experimental.conjugate_gradient,"tf.linalg.experimental.conjugate_gradient(
    operator,
    rhs,
    preconditioner=None,
    x=None,
    tol=1e-05,
    max_iter=20,
    name='conjugate_gradient'
)
",Conjugate gradient solver.View aliases
tf.linalg.expm,"tf.linalg.expm(
    input, name=None
)
",Computes the matrix exponential of one or more square matrices.View aliases
tf.eye,"tf.eye(
    num_rows,
    num_columns=None,
    batch_shape=None,
    dtype=tf.dtypes.float32,
    name=None
)
","Construct an identity matrix, or a batch of matrices.View aliases"
tf.linalg.global_norm,"tf.linalg.global_norm(
    t_list, name=None
)
",Computes the global norm of multiple tensors.View aliases
tf.linalg.inv,"tf.linalg.inv(
    input, adjoint=False, name=None
)
",Computes the inverse of one or more square invertible matrices or their adjoints (conjugate transposes).View aliases
tf.math.l2_normalize,"tf.math.l2_normalize(
    x, axis=None, epsilon=1e-12, name=None, dim=None
)
",Normalizes along dimension axis using an L2 norm. (deprecated arguments)View aliases
tf.linalg.logdet,"tf.linalg.logdet(
    matrix, name=None
)
",Computes log of the determinant of a hermitian positive definite matrix.View aliases
tf.linalg.logm,"tf.linalg.logm(
    input, name=None
)
",Computes the matrix logarithm of one or more square matrices:View aliases
tf.linalg.lstsq,"tf.linalg.lstsq(
    matrix, rhs, l2_regularizer=0.0, fast=True, name=None
)
",Solves one or more linear least-squares problems.View aliases
tf.linalg.lu,"tf.linalg.lu(
    input,
    output_idx_type=tf.dtypes.int32,
    name=None
)
",Computes the LU decomposition of one or more square matrices.View aliases
tf.linalg.lu_matrix_inverse,"tf.linalg.lu_matrix_inverse(
    lower_upper, perm, validate_args=False, name=None
)
",Computes the inverse given the LU decomposition(s) of one or more matrices.View aliases
tf.linalg.lu_reconstruct,"tf.linalg.lu_reconstruct(
    lower_upper, perm, validate_args=False, name=None
)
",The reconstruct one or more matrices from their LU decomposition(s).View aliases
tf.linalg.lu_solve,"tf.linalg.lu_solve(
    lower_upper, perm, rhs, validate_args=False, name=None
)
","Solves systems of linear eqns A X = RHS, given LU factorizations.View aliases"
tf.linalg.matmul,"tf.linalg.matmul(
    a,
    b,
    transpose_a=False,
    transpose_b=False,
    adjoint_a=False,
    adjoint_b=False,
    a_is_sparse=False,
    b_is_sparse=False,
    output_type=None,
    name=None
)
","Multiplies matrix a by matrix b, producing a * b.View aliases"
tf.linalg.matrix_rank,"tf.linalg.matrix_rank(
    a, tol=None, validate_args=False, name=None
)
",Compute the matrix rank of one or more matrices.View aliases
tf.linalg.matrix_transpose,"tf.linalg.matrix_transpose(
    a, name='matrix_transpose', conjugate=False
)
",Transposes last two dimensions of tensor a.View aliases
tf.linalg.matvec,"tf.linalg.matvec(
    a,
    b,
    transpose_a=False,
    adjoint_a=False,
    a_is_sparse=False,
    b_is_sparse=False,
    name=None
)
","Multiplies matrix a by vector b, producing a * b.View aliases"
tf.compat.v1.norm,"tf.compat.v1.norm(
    tensor,
    ord='euclidean',
    axis=None,
    keepdims=None,
    name=None,
    keep_dims=None
)
","Computes the norm of vectors, matrices, and tensors. (deprecated arguments)View aliases"
tf.linalg.normalize,"tf.linalg.normalize(
    tensor, ord='euclidean', axis=None, name=None
)
",Normalizes tensor along dimension axis using specified norm.View aliases
tf.linalg.pinv,"tf.linalg.pinv(
    a, rcond=None, validate_args=False, name=None
)
",Compute the Moore-Penrose pseudo-inverse of one or more matrices.View aliases
tf.linalg.qr,"tf.linalg.qr(
    input, full_matrices=False, name=None
)
",Computes the QR decompositions of one or more matrices.View aliases
tf.linalg.set_diag,"tf.linalg.set_diag(
    input,
    diagonal,
    name='set_diag',
    k=0,
    align='RIGHT_LEFT'
)
",Returns a batched matrix tensor with new batched diagonal values.View aliases
tf.linalg.slogdet,"tf.linalg.slogdet(
    input, name=None
)
",Computes the sign and the log of the absolute value of the determinant ofView aliases
tf.linalg.solve,"tf.linalg.solve(
    matrix, rhs, adjoint=False, name=None
)
",Solves systems of linear equations.View aliases
tf.linalg.sqrtm,"tf.linalg.sqrtm(
    input, name=None
)
",Computes the matrix square root of one or more square matrices:View aliases
tf.linalg.svd,"tf.linalg.svd(
    tensor, full_matrices=False, compute_uv=True, name=None
)
",Computes the singular value decompositions of one or more matrices.View aliases
tf.linalg.tensor_diag,"tf.linalg.tensor_diag(
    diagonal, name=None
)
",Returns a diagonal tensor with a given diagonal values.View aliases
tf.linalg.tensor_diag_part,"tf.linalg.tensor_diag_part(
    input, name=None
)
",Returns the diagonal part of the tensor.View aliases
tf.tensordot,"tf.tensordot(
    a, b, axes, name=None
)
",Tensor contraction of a and b along specified axes and outer product.View aliases
tf.linalg.trace,"tf.linalg.trace(
    x, name=None
)
",Compute the trace of a tensor x.View aliases
tf.linalg.matrix_transpose,"tf.linalg.matrix_transpose(
    a, name='matrix_transpose', conjugate=False
)
",Transposes last two dimensions of tensor a.View aliases
tf.linalg.triangular_solve,"tf.linalg.triangular_solve(
    matrix, rhs, lower=True, adjoint=False, name=None
)
",Solve systems of linear equations with upper or lower triangular matrices.View aliases
tf.linalg.tridiagonal_matmul,"tf.linalg.tridiagonal_matmul(
    diagonals, rhs, diagonals_format='compact', name=None
)
",Multiplies tridiagonal matrix by matrix.View aliases
tf.linalg.tridiagonal_solve,"tf.linalg.tridiagonal_solve(
    diagonals,
    rhs,
    diagonals_format='compact',
    transpose_rhs=False,
    conjugate_rhs=False,
    name=None,
    partial_pivoting=True,
    perturb_singular=False
)
",Solves tridiagonal systems of equations.View aliases
tf.linspace,"tf.linspace(
    start, stop, num, name=None, axis=0
)
",Generates evenly-spaced values in an interval along a given axis.View aliases
tf.lite.Interpreter,"tf.lite.Interpreter(
    model_path=None,
    model_content=None,
    experimental_delegates=None,
    num_threads=None,
    experimental_op_resolver_type=tf.lite.experimental.OpResolverType.AUTO,
    experimental_preserve_all_tensors=False
)
",Interpreter interface for running TensorFlow Lite models.View aliases
tf.compat.v1.lite.OpHint,"tf.compat.v1.lite.OpHint(
    function_name, level=1, children_inputs_mappings=None, **kwargs
)
",A class that helps build tflite function invocations. (deprecated)
tf.compat.v1.lite.OpHint.OpHintArgumentTracker,"tf.compat.v1.lite.OpHint.OpHintArgumentTracker(
    function_name,
    unique_function_id,
    node_name_prefix,
    attr_name,
    level=1,
    children_inputs_mappings=None
)
","Conceptually tracks indices of arguments of ""OpHint functions""."
tf.lite.RepresentativeDataset,"tf.lite.RepresentativeDataset(
    input_gen
)
",Representative dataset used to optimize the model.View aliases
tf.compat.v1.lite.TFLiteConverter,"tf.compat.v1.lite.TFLiteConverter(
    graph_def,
    input_tensors,
    output_tensors,
    input_arrays_with_shape=None,
    output_arrays=None,
    experimental_debug_info_func=None
)
",Convert a TensorFlow model into output_format.
tf.lite.TargetSpec,"tf.lite.TargetSpec(
    supported_ops=None,
    supported_types=None,
    experimental_select_user_tf_ops=None,
    experimental_supported_backends=None
)
",Specification of target device used to optimize the model.View aliases
tf.lite.experimental.QuantizationDebugOptions,"tf.lite.experimental.QuantizationDebugOptions(
    layer_debug_metrics: Optional[Mapping[str, Callable[[np.ndarray], float]]] = None,
    model_debug_metrics: Optional[Mapping[str, Callable[[Sequence[np.ndarray], Sequence[np.ndarray]],
        float]]] = None,
    layer_direct_compare_metrics: Optional[Mapping[str, Callable[[Sequence[np.ndarray], Sequence[np.ndarray],
        float, int], float]]] = None,
    denylisted_ops: Optional[List[str]] = None,
    denylisted_nodes: Optional[List[str]] = None,
    fully_quantize: bool = False
) -> None
",Debug options to set up a given QuantizationDebugger.View aliases
tf.lite.experimental.QuantizationDebugger,"tf.lite.experimental.QuantizationDebugger(
    quant_debug_model_path: Optional[str] = None,
    quant_debug_model_content: Optional[bytes] = None,
    float_model_path: Optional[str] = None,
    float_model_content: Optional[bytes] = None,
    debug_dataset: Optional[Callable[[], Iterable[Sequence[np.ndarray]]]] = None,
    debug_options: Optional[tf.lite.experimental.QuantizationDebugOptions] = None,
    converter: Optional[TFLiteConverter] = None
) -> None
",Debugger for Quantized TensorFlow Lite debug mode models.View aliases
tf.lite.experimental.authoring.compatible,"tf.lite.experimental.authoring.compatible(
    target=None, converter_target_spec=None, **kwargs
)
",Wraps tf.function into a callable function with TFLite compatibility checking.View aliases
tf.compat.v1.lite.experimental.convert_op_hints_to_stubs,"tf.compat.v1.lite.experimental.convert_op_hints_to_stubs(
    session=None,
    graph_def=None,
    write_callback=(lambda graph_def, comments: None)
)
",Converts a graphdef with LiteOp hints into stub operations. (deprecated)
tf.lite.experimental.load_delegate,"tf.lite.experimental.load_delegate(
    library, options=None
)
",Returns loaded Delegate object.View aliases
tf.compat.v1.lite.toco_convert,"tf.compat.v1.lite.toco_convert(
    input_data, input_tensors, output_tensors, *args, **kwargs
)
",Convert a TensorFlow GraphDef to TFLite. (deprecated)
tf.compat.v1.load_file_system_library,"tf.compat.v1.load_file_system_library(
    library_filename
)
","Loads a TensorFlow plugin, containing file system implementation. (deprecated)"
tf.load_library,"tf.load_library(
    library_location
)
",Loads a TensorFlow plugin.View aliases
tf.load_op_library,"tf.load_op_library(
    library_filename
)
","Loads a TensorFlow plugin, containing custom ops and kernels.View aliases"
tf.compat.v1.local_variables,"tf.compat.v1.local_variables(
    scope=None
)
",Returns local variables.
tf.math.log,"tf.math.log(
    x, name=None
)
",Computes natural logarithm of x element-wise.View aliases
tf.math.log1p,"tf.math.log1p(
    x, name=None
)
",Computes natural logarithm of (1 + x) element-wise.View aliases
tf.math.log_sigmoid,"tf.math.log_sigmoid(
    x, name=None
)
",Computes log sigmoid of x element-wise.View aliases
tf.compat.v1.logging.TaskLevelStatusMessage,"tf.compat.v1.logging.TaskLevelStatusMessage(
    msg
)
",nan
tf.compat.v1.logging.debug,"tf.compat.v1.logging.debug(
    msg, *args, **kwargs
)
",nan
tf.compat.v1.logging.error,"tf.compat.v1.logging.error(
    msg, *args, **kwargs
)
",nan
tf.compat.v1.logging.fatal,"tf.compat.v1.logging.fatal(
    msg, *args, **kwargs
)
",nan
tf.compat.v1.logging.info,"tf.compat.v1.logging.info(
    msg, *args, **kwargs
)
",nan
tf.compat.v1.logging.log,"tf.compat.v1.logging.log(
    level, msg, *args, **kwargs
)
",nan
tf.compat.v1.logging.log_every_n,"tf.compat.v1.logging.log_every_n(
    level, msg, n, *args
)
",Log 'msg % args' at level 'level' once per 'n' times.
tf.compat.v1.logging.log_first_n,"tf.compat.v1.logging.log_first_n(
    level, msg, n, *args
)
",Log 'msg % args' at level 'level' only first 'n' times.
tf.compat.v1.logging.log_if,"tf.compat.v1.logging.log_if(
    level, msg, condition, *args
)
",Log 'msg % args' at level 'level' only if condition is fulfilled.
tf.compat.v1.logging.set_verbosity,"tf.compat.v1.logging.set_verbosity(
    v
)
",Sets the threshold for what messages will be logged.
tf.compat.v1.logging.vlog,"tf.compat.v1.logging.vlog(
    level, msg, *args, **kwargs
)
",nan
tf.compat.v1.logging.warn,"tf.compat.v1.logging.warn(
    msg, *args, **kwargs
)
",nan
tf.compat.v1.logging.warning,"tf.compat.v1.logging.warning(
    msg, *args, **kwargs
)
",nan
tf.math.logical_and,"tf.math.logical_and(
    x, y, name=None
)
",Returns the truth value of x AND y element-wise.View aliases
tf.math.logical_not,"tf.math.logical_not(
    x, name=None
)
",Returns the truth value of NOT x element-wise.View aliases
tf.math.logical_or,"tf.math.logical_or(
    x, y, name=None
)
",Returns the truth value of x OR y element-wise.View aliases
tf.math.logical_xor,"tf.math.logical_xor(
    x, y, name='LogicalXor'
)
",Logical XOR function.View aliases
tf.lookup.KeyValueTensorInitializer,"tf.lookup.KeyValueTensorInitializer(
    keys, values, key_dtype=None, value_dtype=None, name=None
)
",Table initializers given keys and values tensors.View aliases
tf.compat.v1.lookup.StaticHashTable,"tf.compat.v1.lookup.StaticHashTable(
    initializer, default_value, name=None, experimental_is_anonymous=False
)
","A generic hash table that is immutable once initialized.Inherits From: StaticHashTable, TrackableResource"
tf.compat.v1.lookup.StaticVocabularyTable,"tf.compat.v1.lookup.StaticVocabularyTable(
    initializer,
    num_oov_buckets,
    lookup_key_dtype=None,
    name=None,
    experimental_is_anonymous=False
)
","String to Id table that assigns out-of-vocabulary keys to hash buckets.Inherits From: StaticVocabularyTable, TrackableResource"
tf.lookup.TextFileInitializer,"tf.lookup.TextFileInitializer(
    filename,
    key_dtype,
    key_index,
    value_dtype,
    value_index,
    vocab_size=None,
    delimiter='\t',
    name=None,
    value_index_offset=0
)
",Table initializers from a text file.View aliases
tf.lookup.experimental.DenseHashTable,"tf.lookup.experimental.DenseHashTable(
    key_dtype,
    value_dtype,
    default_value,
    empty_key,
    deleted_key,
    initial_num_buckets=None,
    name='MutableDenseHashTable',
    checkpoint=True,
    experimental_is_anonymous=False
)
",A mutable hash table with faster lookups and higher memory usage.Inherits From: TrackableResourceView aliases
tf.lookup.experimental.MutableHashTable,"tf.lookup.experimental.MutableHashTable(
    key_dtype,
    value_dtype,
    default_value,
    name='MutableHashTable',
    checkpoint=True,
    experimental_is_anonymous=False
)
",A generic mutable hash table implementation.Inherits From: TrackableResourceView aliases
